"GeneID","SeqID","CMSVM._Localization","CMSVM._Details","CytoSVM._Localization","CytoSVM._Details","ECSVM._Localization","ECSVM._Details","ModHMM._Localization","ModHMM._Details","Motif._Localization","Motif._Details","OMPMotif._Localization","OMPMotif._Details","OMSVM._Localization","OMSVM._Details","PPSVM._Localization","PPSVM._Details","Profile._Localization","Profile._Details","SCL.BLAST._Localization","SCL.BLAST._Details","SCL.BLASTe._Localization","SCL.BLASTe._Details","Signal._Localization","Signal._Details","Cytoplasmic_Score","CytoplasmicMembrane_Score","Periplasmic_Score","OuterMembrane_Score","Extracellular_Score","Final_Localization","Final_Localization_Details","Final_Score","Secondary_Localization","PSortb_Version","System","Process","Pathway","Protein"
"sll0740","sll0740 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0741","sll0741 pyruvate flavodoxin oxidoreductase","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Photosynthesis and respiration","Soluble electron carriers","pyruvate flavodoxin oxidoreductase"
"sll0742","sll0742 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0743","sll0743 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0744","sll0744 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0745","sll0745 phosphofructokinase","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 547755: 6-phosphofructokinase","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"Energy metabolism","Glycolysis","phosphofructokinase"
"sll0749","sll0749 hypothetical protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"Unknown","1 internal helix found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Non-Cytoplasmic","Signal peptide detected",0,9.86,0.12,0.01,0.01,"CytoplasmicMembrane","",9.86,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0750","sll0750 two-component sensor histidine kinase, KaiC-interacting protein, involved in circadian rhythm","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","CytoplasmicMembrane","matched 1346374: Sensor protein kdpD","Unknown","No matches against database","Unknown","No signal peptide detected",2.11,7.88,0,0,0,"CytoplasmicMembrane","",7.88,"","PSORTb version 3.0",NA,"Regulatory functions","","two-component sensor histidine kinase, KaiC-interacting protein, involved in circadian rhythm"
"sll0751","sll0751 hypothetical protein YCF22","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"Unknown","1 internal helix found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0.04,9.82,0.12,0.01,0.01,"CytoplasmicMembrane","",9.82,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein YCF22"
"sll0752","sll0752 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0753","sll0753 FolD bifunctional protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 15596993: 5,10-methylene-tetrahydrofolate dehydrogenase / cyclohydrolase[Pseudomonas aeruginosa PAO1]","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"Biosynthesis of cofactors, prosthetic groups, and carriers","Folic acid","FolD bifunctional protein"
"sll0754","sll0754 ribosome binding factor A","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 140742: Cytoplasmic protein","Unknown","No matches against database","Unknown","No signal peptide detected",9.26,0.24,0.48,0.01,0.01,"Cytoplasmic","",9.26,"","PSORTb version 3.0",NA,"Translation","Ribosomal proteins: synthesis and modification","ribosome binding factor A"
"sll0755","sll0755 thioredoxin peroxidase","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 2507172: Probable peroxiredoxin","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"Cellular processes","Detoxification","thioredoxin peroxidase"
"sll0756","sll0756 unknown protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0.04,9.82,0.12,0.01,0.01,"CytoplasmicMembrane","",9.82,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll0757","sll0757 amidophosphoribosyltransferase","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 62297827: Glucosamine--fructose-6-phosphate aminotransferase [isomerizing]","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"Purines, pyrimidines, nucleosides, and nucleotides","Purine ribonucleotide biosynthesis","amidophosphoribosyltransferase"
"sll0759","sll0759 ABC transporter ATP-binding protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","CytoplasmicMembrane","matched 118129: Sulfate/thiosulfate import ATP-binding protein cysA","Unknown","No matches against database","Unknown","No signal peptide detected",2.11,7.88,0,0,0,"CytoplasmicMembrane","",7.88,"","PSORTb version 3.0",NA,"Transport and binding proteins","","ABC transporter ATP-binding protein"
"sll0760","sll0760 hypothetical protein YCF38","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"CytoplasmicMembrane","6 internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0,10,0,0,0,"CytoplasmicMembrane","",10,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein YCF38"
"sll0761","sll0761 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Non-Cytoplasmic","Signal peptide detected",0,2.5,2.5,2.5,2.5,"Unknown","",2.5,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll0762","sll0762 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","1 internal helix found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll0763","sll0763 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0764","sll0764 urea transport system ATP-binding protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic,CytoplasmicMembrane","matched 71164840: Cytoplasmic membrane associated cytoplasmic protein","Unknown","No matches against database","Unknown","No signal peptide detected",9.12,0.88,0,0,0,"Cytoplasmic","",9.12,"","PSORTb version 3.0",NA,"Transport and binding proteins","","urea transport system ATP-binding protein"
"sll0765","sll0765 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0766","sll0766 DNA repair protein RadC","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 15600512: DNA repair protein RadC[Pseudomonas aeruginosa PAO1]","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"DNA replication, restriction, modification, recombination, and repair","","DNA repair protein RadC"
"sll0767","sll0767 50S ribosomal protein L20","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 16079937: 50S ribosomal protein L20 [Bacillus subtilis subsp. subtilis str. 168]","Unknown","No matches against database","Unknown","No signal peptide detected",9.26,0.24,0.48,0.01,0.01,"Cytoplasmic","",9.26,"","PSORTb version 3.0",NA,"Translation","Ribosomal proteins: synthesis and modification","50S ribosomal protein L20"
"sll0771","sll0771 glucose transport protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"CytoplasmicMembrane","12 internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"CytoplasmicMembrane","matched PS50850: MFS Profile - Cytoplasmic Membrane ","CytoplasmicMembrane","matched 1346137: Glucose transport protein","CytoplasmicMembrane","matched 100% 1346137: Glucose transport protein","Unknown","No signal peptide detected",0,10,0,0,0,"CytoplasmicMembrane","",10,"","PSORTb version 3.0",NA,"Transport and binding proteins","","glucose transport protein"
"sll0772","sll0772 probable porin; major outer membrane protein","Unknown",NA,"Unknown",NA,"Extracellular",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","OuterMembrane",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0,0,0.02,3.73,6.26,"Unknown"," (This protein may have multiple localization sites.)",6.26,"","PSORTb version 3.0",NA,"Cell envelope","Membranes, lipoproteins, and porins","probable porin; major outer membrane protein"
"sll0775","sll0775 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","1 internal helix found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Non-Cytoplasmic","Signal peptide detected",0,2.5,2.5,2.5,2.5,"Unknown","",2.5,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll0776","sll0776 serine/threonine kinase","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","1 internal helix found","Unknown","No motifs found","Unknown","No motifs found","OuterMembrane",NA,"Unknown",NA,"Unknown","No matches to profiles found","CytoplasmicMembrane","matched 1709644: Cytoplasmic membrane integral membrane protein","Unknown","No matches against database","Unknown","No signal peptide detected",0.22,4.86,0.04,4.69,0.19,"Unknown"," (This protein may have multiple localization sites.)",4.86,"","PSORTb version 3.0",NA,"Regulatory functions","","serine/threonine kinase"
"sll0777","sll0777 putative carboxypeptidase","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","1 internal helix found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 7380949: Cytoplasmic protein","Unknown","No matches against database","Unknown","No signal peptide detected",9.26,0.24,0.48,0.01,0.01,"Cytoplasmic","",9.26,"","PSORTb version 3.0",NA,"Other categories","Other","putative carboxypeptidase"
"sll0778","sll0778 ABC transporter, ATP-binding protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"CytoplasmicMembrane","6 internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","CytoplasmicMembrane","matched 121397: Glutamine transport ATP-binding protein glnQ","Unknown","No matches against database","Unknown","No signal peptide detected",0,10,0,0,0,"CytoplasmicMembrane","",10,"","PSORTb version 3.0",NA,"Transport and binding proteins","","ABC transporter, ATP-binding protein"
"sll0779","sll0779 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","1 internal helix found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 60390590: Response regulator pleD","Unknown","No matches against database","Non-Cytoplasmic","Signal peptide detected",0,3.24,6.49,0.14,0.14,"Unknown"," (This protein may have multiple localization sites.)",6.49,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll0780","sll0780 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll0781","sll0781 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0782","sll0782 transcriptional regulator","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 118438: Cytoplasmic protein","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"Regulatory functions","","transcriptional regulator"
"sll0783","sll0783 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll0784","sll0784 nitrilase","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Amino acid biosynthesis","Glutamate family / Nitrogen assimilation","nitrilase"
"sll0785","sll0785 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll0786","sll0786 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll0787","sll0787 hypothetical protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0.04,9.82,0.12,0.01,0.01,"CytoplasmicMembrane","",9.82,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0788","sll0788 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","1 internal helix found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Non-Cytoplasmic","Signal peptide detected",0,2.5,2.5,2.5,2.5,"Unknown","",2.5,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0789","sll0789 two-component response regulator OmpR subfamily","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 1172482: Cytoplasmic protein","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"Regulatory functions","","two-component response regulator OmpR subfamily"
"sll0790","sll0790 two-component sensor histidine kinase","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"Unknown","2 internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","CytoplasmicMembrane","matched 130131: Cytoplasmic membrane integral membrane protein","Unknown","No matches against database","Unknown","No signal peptide detected",0,10,0,0,0,"CytoplasmicMembrane","",10,"","PSORTb version 3.0",NA,"Regulatory functions","","two-component sensor histidine kinase"
"sll0792","sll0792 Zinc-responsive repressor ZiaR","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Regulatory functions","","Zinc-responsive repressor ZiaR"
"sll0793","sll0793 hypothetical protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"CytoplasmicMembrane","4 internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","CytoplasmicMembrane","matched 3183475: UPF0060 membrane protein ynfA","Unknown","No matches against database","Unknown","No signal peptide detected",0,10,0,0,0,"CytoplasmicMembrane","",10,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0794","sll0794 cobalt-dependent transcriptional regulator","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","cobalt-dependent transcriptional regulator"
"sll0797","sll0797 redox-responsive and/or Ni(II)-responsive regulator, two-component response regulator OmpR subfamily","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 6685724: Phosphate regulon transcriptional regulatory protein phoB","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"Regulatory functions","","redox-responsive and/or Ni(II)-responsive regulator, two-component response regulator OmpR subfamily"
"sll0798","sll0798 Ni(II)-sensor and/or redox sensor, two-component sensor histidine kinase","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"Unknown","2 internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","CytoplasmicMembrane","matched 75416541: Sensor protein srrB","Unknown","No matches against database","Unknown","No signal peptide detected",0,10,0,0,0,"CytoplasmicMembrane","",10,"","PSORTb version 3.0",NA,"Regulatory functions","","Ni(II)-sensor and/or redox sensor, two-component sensor histidine kinase"
"sll0800","sll0800 hypothetical protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0.04,9.82,0.12,0.01,0.01,"CytoplasmicMembrane","",9.82,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0802","sll0802 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0803","sll0803 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0804","sll0804 hypothetical protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"Unknown","2 internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0.04,9.82,0.12,0.01,0.01,"CytoplasmicMembrane","",9.82,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0807","sll0807 pentose-5-phosphate-3-epimerase","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 15595804: ribulose-phosphate 3-epimerase[Pseudomonas aeruginosa PAO1]","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"Energy metabolism","Pentose phosphate pathway","pentose-5-phosphate-3-epimerase"
"sll0808","sll0808 putative transposase [ISY508a: 1710788 - 1711753]","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Other categories","Transposon-related functions","putative transposase [ISY508a: 1710788 - 1711753]"
"sll0809","sll0809 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll0810","sll0810 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll0811","sll0811 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll0812","sll0812 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
