protein,f_value,p_value,q_value,process
slr1624,22.62432429612969,3.2928724998879037e-06,4.899105821811718e-05,Hypothetical
sll0430,22.61528191217771,3.3011895860236665e-06,4.899105821811718e-05,Cellular processes
sll2002,22.302851787117863,3.6037199586111915e-06,5.2917782550132755e-05,Hypothetical
ssr3451,22.2015155306287,3.7085003940571198e-06,5.3661659664594345e-05,Photosynthesis and respiration
slr0848,22.179883098124762,3.731312535817672e-06,5.3661659664594345e-05,Hypothetical
slr1351,22.07704308809112,3.841958264266228e-06,5.468909978215703e-05,Cell envelope
ssl2598,21.98587682131197,3.943160094935066e-06,5.556271042863048e-05,Photosynthesis and respiration
sll0179,21.93906431971827,3.996296995141928e-06,5.564048126676611e-05,Translation
ssl0242,21.911078805804998,4.028450615013174e-06,5.564048126676611e-05,Hypothetical
slr1342,21.808484544292227,4.148857207977566e-06,5.674172357969319e-05,Hypothetical
ssr2554,21.32116210411102,4.779429329901257e-06,6.387336807183752e-05,Hypothetical
sll2005,21.2846399130492,4.830900262178012e-06,6.387336807183752e-05,"DNA replication, restriction, modification, recombination, and repair"
slr0876,21.27694594585342,4.8418233190426095e-06,6.387336807183752e-05,Hypothetical
slr1818,21.268770760789927,4.853460226247152e-06,6.387336807183752e-05,Hypothetical
slr0546,21.135112300393306,5.048281194550103e-06,6.581637632147097e-05,Amino acid biosynthesis
sll0020,21.04960139132584,5.177565664332637e-06,6.687688983096323e-05,Translation
slr1468,20.90494719329973,5.404901739634447e-06,6.91728250164225e-05,Hypothetical
slr0909,20.75608135312101,5.650738542626429e-06,7.166163879058062e-05,Unknown
sll0039,20.544562984586648,6.022134269642087e-06,7.564734037176783e-05,Regulatory functions
sll0489,20.51648768306137,6.073478223396415e-06,7.564734037176783e-05,Transport and binding proteins
ssl1707,20.19461497398753,6.698965950320141e-06,8.269962389996987e-05,Hypothetical
slr2058,20.14298662670797,6.8059367365576185e-06,8.271413174928808e-05,"DNA replication, restriction, modification, recombination, and repair"
sll1734,20.13687478373161,6.818727706930559e-06,8.271413174928808e-05,Hypothetical
slr0237,20.10311994350826,6.889862806240599e-06,8.285653978194517e-05,Central intermediary metabolism
slr1506,19.979623229158925,7.1573790256503205e-06,8.526591412268109e-05,Hypothetical
sll1341,19.909840827686125,7.3137329595565995e-06,8.526591412268109e-05,Transport and binding proteins
slr0886,19.90794509339539,7.318034185921744e-06,8.526591412268109e-05,"Fatty acid, phospholipid and sterol metabolism"
slr0384,19.900610651961482,7.334702290123103e-06,8.526591412268109e-05,"Fatty acid, phospholipid and sterol metabolism"
slr0613,19.86133767017153,7.424688228613892e-06,8.55986783381519e-05,Hypothetical
slr1171,19.767873989360574,7.643914840438875e-06,8.740378034764123e-05,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll6055,19.618112641591694,8.010655469902705e-06,9.085255593914044e-05,Hypothetical
sll1742,19.28012871774432,8.913945666927213e-06,0.00010028188875293116,Regulatory functions
sll0207,19.073322765761738,9.52336505841958e-06,0.00010628075405196252,Cell envelope
sll0469,19.0418597297334,9.620155280098534e-06,0.00010645755763606071,"Purines, pyrimidines, nucleosides, and nucleotides"
sll1626,19.00554563080002,9.733256924925079e-06,0.00010645755763606071,Regulatory functions
sll1099,18.973726216066204,9.833598966659222e-06,0.00010645755763606071,Translation
sll0362,18.97030342293925,9.844462319033572e-06,0.00010645755763606071,Translation
slr0469,18.909396438710644,1.004006190990631e-05,0.00010773758741784078,Translation
sll0420,18.850395661309296,1.0233747444872777e-05,0.00010817635139538634,Central intermediary metabolism
slr1233,18.84855212736384,1.0239867156417862e-05,0.00010817635139538634,Energy metabolism
slr1622,18.826441764497662,1.031358762407626e-05,0.00010817635139538634,Central intermediary metabolism
sll1813,18.718536277128983,1.0682103670909533e-05,0.00011120548224566268,Translation
slr2052,18.63968836590254,1.0960820705876421e-05,0.00011314598130755556,Hypothetical
slr1511,18.620270234254747,1.1030719324607567e-05,0.00011314598130755556,"Fatty acid, phospholipid and sterol metabolism"
slr1878,18.569651520319226,1.1215315215270386e-05,0.00011419974252045393,Photosynthesis and respiration
slr0233,18.496971330372123,1.1486516126844286e-05,0.00011611369563005637,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll1181,18.198840670632087,1.2679474680142066e-05,0.00012725084301293656,Cellular processes
slr0161,18.1594507454864,1.2847344078212712e-05,0.00012801460706504808,Cellular processes
slr1768,18.101442137425888,1.3099164942599358e-05,0.00012951605990127148,Unknown
sll1536,18.08224852088342,1.3183713624358818e-05,0.00012951605990127148,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll1453,17.997584425822247,1.3564114579710514e-05,0.0001323212576132599,Transport and binding proteins
slr0208,17.947671556148737,1.3794194486258475e-05,0.000133631259085629,Hypothetical
slr0744,17.80305385651339,1.4486186094625104e-05,0.0001393671007034622,Translation
sll1555,17.664734410510555,1.5185039475734921e-05,0.00014508993197705626,Regulatory functions
slr1908,17.587385973039456,1.5592444949698308e-05,0.00014796912044101455,Cell envelope
slr0452,17.361059298461633,1.6857484314823958e-05,0.00015809888610362544,Amino acid biosynthesis
sll1932,17.35608792158016,1.688654769135497e-05,0.00015809888610362544,Cellular processes
ssr0102,17.29494255155931,1.724869328035825e-05,0.0001604128475073317,Hypothetical
sll1787,17.271571707605865,1.738942900403274e-05,0.00016061632807800688,Transcription
slr0556,17.25322080695117,1.7500847217101824e-05,0.00016061632807800688,Hypothetical
sll0329,17.200447920619563,1.7825792533990627e-05,0.00016217108641685072,Energy metabolism
slr1673,17.188107851557305,1.7902757927021507e-05,0.00016217108641685072,Translation
slr0821,17.145082679134322,1.8174066124893032e-05,0.00016356659512403732,Hypothetical
slr1796,17.033786147087795,1.8897747222940145e-05,0.00016804939822406942,Hypothetical
sll1289,17.026527991727455,1.894606377485412e-05,0.00016804939822406942,Hypothetical
sll1305,17.007013940445173,1.9076661397423488e-05,0.00016804939822406942,Other categories
slr1423,16.991751162461046,1.917951819351675e-05,0.00016804939822406942,Cell envelope
sll1746,16.96699186150649,1.934771137287476e-05,0.00016804939822406942,Translation
sll1581,16.96008203040836,1.9394948468871094e-05,0.00016804939822406942,Hypothetical
slr0598,16.807199507987253,2.047425286640416e-05,0.00017630606634959136,Hypothetical
sll0370,16.753688043572847,2.0867975316483512e-05,0.00017859402188033434,Energy metabolism
slr1533,16.727814351135073,2.106141714856295e-05,0.00017915046903808118,Hypothetical
sll1221,16.610846596373865,2.196164031663278e-05,0.00018567568631334987,Other categories
slr1299,16.55996250338769,2.236680325139265e-05,0.000187961991178872,Energy metabolism
slr1097,16.47339031854725,2.30757390495866e-05,0.00019181222886887142,Hypothetical
sll0698,16.470485093438413,2.3099967347649026e-05,0.00019181222886887142,Other categories
sll0661,16.452702618797787,2.324889471164006e-05,0.00019190655693927745,Hypothetical
sll1910,16.429702561943678,2.344313450681984e-05,0.00019237160374713924,Other categories
slr0985,16.296540241762195,2.460449697428005e-05,0.0002005589731814713,Cell envelope
slr1165,16.269077880621488,2.48520321415564e-05,0.0002005589731814713,Amino acid biosynthesis
slr1220,16.266855366694248,2.487218807196741e-05,0.0002005589731814713,Hypothetical
sll1180,16.22793238663493,2.5228198253087784e-05,0.00020118238733804342,Transport and binding proteins
sll1800,16.190270934607188,2.557817260307081e-05,0.00020118238733804342,Translation
slr0193,16.19018670194289,2.5578961484829777e-05,0.00020118238733804342,Translation
sll1275,16.187996626896652,2.5599482326920608e-05,0.00020118238733804342,Energy metabolism
slr0435,16.16578792571498,2.5808632738447087e-05,0.00020118238733804342,"Fatty acid, phospholipid and sterol metabolism"
sll1127,16.16513604892375,2.5814800955920983e-05,0.00020118238733804342,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr1531,16.07401054854035,2.6693714343284632e-05,0.00020687628616045592,Cellular processes
slr1994,16.028899284000072,2.7141323339009037e-05,0.00020918312739181,"Fatty acid, phospholipid and sterol metabolism"
slr0606,15.988567581934845,2.7548715344807726e-05,0.0002111563621209163,Hypothetical
slr2075,15.920496379444408,2.8252112300543268e-05,0.0002153644626188954,Cellular processes
slr0398,15.889928107526647,2.857458272005249e-05,0.00021663882007865883,Unknown
slr8030,15.861493518179962,2.887829089330157e-05,0.0002177579232224632,Hypothetical
sll1244,15.776213387419938,2.9811314520959332e-05,0.00022358485890719497,Translation
slr1970,15.74957669401994,3.0109699758192352e-05,0.0002238755113613377,Hypothetical
sll0421,15.732111207939868,3.0307184421132e-05,0.0002238755113613377,"Purines, pyrimidines, nucleosides, and nucleotides"
sll0017,15.718688129374454,3.0459958114092676e-05,0.0002238755113613377,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll1106,15.715882071919337,3.049200513165172e-05,0.0002238755113613377,Hypothetical
sll1553,15.676658813489587,3.0943981156095794e-05,0.00022456566536236132,Translation
ssl3364,15.676193779932918,3.0949385131521196e-05,0.00022456566536236132,Hypothetical
slr1227,15.665928934760673,3.106894151608296e-05,0.00022456566536236132,Cell envelope
slr1763,15.595016797217056,3.1909299520757984e-05,0.00022945089088380097,Other categories
sll1804,15.53824588621994,3.2600650987549605e-05,0.00023322004168016254,Translation
sll1326,15.454745586323796,3.364855457360127e-05,0.0002394884368886417,Photosynthesis and respiration
sll0018,15.430999928813927,3.3953483938895195e-05,0.00024043203093786192,Energy metabolism
sll0617,15.389888012642134,3.448885021828061e-05,0.0002429896265378861,Hypothetical
slr0528,15.216812885904085,3.684998956791707e-05,0.0002583202786293684,Cell envelope
sll1802,15.176435104477706,3.7426833160500454e-05,0.00026105216129449063,Translation
sll0513,15.090488255819302,3.868905628843389e-05,0.00026770560756717737,Hypothetical
slr0348,15.085449433766215,3.876453959037264e-05,0.00026770560756717737,Hypothetical
slr0653,15.050926466089733,3.928621379195345e-05,0.000269971764727956,Transcription
slr1406,15.026415655306518,3.966142134776305e-05,0.0002712141312751444,Hypothetical
sll1444,14.935253115770788,4.10929729631097e-05,0.00027963266967579527,Amino acid biosynthesis
slr0947,14.912211166495624,4.146401042905512e-05,0.00028078783761423254,Regulatory functions
slr0012,14.881404182339134,4.196602714264831e-05,0.00028281453074393425,Photosynthesis and respiration
slr0321,14.850297756059089,4.247991805816661e-05,0.00028439896941821665,Regulatory functions
slr1816,14.842558521302216,4.2608877855489096e-05,0.00028439896941821665,Hypothetical
slr1992,14.810310331076524,4.315102665117376e-05,0.0002866461056113685,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr0112,14.792895021097,4.344705427069309e-05,0.0002872447426901273,Unknown
slr1505,14.733945222212364,4.446629013122563e-05,0.00029259657892952715,Unknown
sll0927,14.638225981098905,4.61794749606349e-05,0.00030244304023514405,Translation
sll1260,14.611536615919,4.667039983373765e-05,0.0003042299428414207,Translation
slr1198,14.580393460363233,4.725073481293482e-05,0.00030658034913508866,Other categories
sll1363,14.462920156732476,4.9514526436426895e-05,0.00031912639439876287,Amino acid biosynthesis
ssr2049,14.456492881005502,4.964188357314089e-05,0.00031912639439876287,Unknown
slr1963,14.413657035172406,5.050021554915084e-05,0.00032315504904158453,Hypothetical
slr0808,14.348690159849653,5.18342664847751e-05,0.00033017717692356745,Translation
sll0542,14.33302323163262,5.216191854830874e-05,0.00033075398352223044,Energy metabolism
sll1031,14.319197606738902,5.2453011171726224e-05,0.00033109479902514963,Photosynthesis and respiration
slr1617,14.290826054490188,5.30561405961915e-05,0.0003333933159085006,Energy metabolism
slr0742,14.269898229668513,5.350606296399181e-05,0.00033471281540254966,Hypothetical
sll1806,14.228354157961595,5.441206835897204e-05,0.0003388608721462768,Translation
ssr2831,14.183228438059269,5.5415920412123413e-05,0.00034357870655516516,Photosynthesis and respiration
sll1994,14.13948446154042,5.6409094669734605e-05,0.00034795302655857486,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr0394,14.130293856085713,5.6620313282291395e-05,0.00034795302655857486,Energy metabolism
sll1528,14.105103040416866,5.7203854739106046e-05,0.00034999726912742516,Unknown
sll0577,14.047387525252557,5.856667824579692e-05,0.0003553292972420156,Hypothetical
slr1329,14.046632072568714,5.858475868506351e-05,0.0003553292972420156,Photosynthesis and respiration
sll1074,14.029192149261815,5.900391483355393e-05,0.0003563223428260075,Translation
slr2076,13.988686545102905,5.9990604230924145e-05,0.00036071936595749636,Cellular processes
slr0527,13.86709146223926,6.306664391775767e-05,0.0003771367424908384,Regulatory functions
slr1794,13.85961049941772,6.326164712749547e-05,0.0003771367424908384,Transport and binding proteins
slr0918,13.676442504288115,6.825596628448181e-05,0.0004051790339014984,Translation
ssl3432,13.621675461850336,6.983486951881113e-05,0.00041279509736754885,Translation
slr0729,13.583025371377635,7.097402239552826e-05,0.0004166678476810296,Hypothetical
slr0776,13.579216484742167,7.108741774056274e-05,0.0004166678476810296,"Fatty acid, phospholipid and sterol metabolism"
slr1363,13.563146367421545,7.156810900067692e-05,0.00041773017596629416,Hypothetical
slr6101,13.473869202912473,7.430652640067482e-05,0.0004319066847039224,Hypothetical
sll1479,13.448736117333915,7.509869926427129e-05,0.0004346999397247239,Energy metabolism
sll1941,13.366823184402225,7.774765579634701e-05,0.00044749875428978515,"DNA replication, restriction, modification, recombination, and repair"
slr1855,13.3606542491292,7.795139590854321e-05,0.00044749875428978515,Unknown
sll1306,13.332342724501943,7.889422050239647e-05,0.0004510550721346028,Unknown
slr1167,13.275566943957429,8.082412208960264e-05,0.0004602026543469211,"Fatty acid, phospholipid and sterol metabolism"
sll0288,13.262273114446616,8.128368739437604e-05,0.0004609379833949373,Cellular processes
sll1696,13.243065083407052,8.195294014453678e-05,0.0004628516255126672,Hypothetical
slr1834,13.213976719552651,8.297835752063017e-05,0.0004667532610535448,Photosynthesis and respiration
sll1835,13.14963544113084,8.529851665620894e-05,0.00047787723186912235,Hypothetical
sll0245,13.119775823469267,8.640014565015302e-05,0.0004821128127278538,Other categories
slr0758,13.093617604958768,8.737846557417289e-05,0.0004856293206213991,Other categories
sll1578,13.080118401651822,8.78882387923361e-05,0.00048652417902900343,Photosynthesis and respiration
slr0575,13.055066993981333,8.884320731723796e-05,0.0004898666964725176,Hypothetical
slr0875,13.027752934290378,8.989783953656582e-05,0.0004937302604468871,Transport and binding proteins
sll0136,13.009134295615011,9.062485256794996e-05,0.000495771252283491,Translation
sll0395,12.871151479241297,9.622502391314538e-05,0.0005243512045267102,Other categories
slr0106,12.854763645456526,9.691579210277438e-05,0.000526060427950857,Unknown
slr0298,12.832798184100092,9.78504861078022e-05,0.0005290753027921863,Other categories
sll1185,12.79367552799,9.954065442721508e-05,0.0005361359572431081,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr2072,12.752348879133265,0.00010136202828777011,0.000543846267159382,Amino acid biosynthesis
slr0476,12.72543417764493,0.0001025685097350977,0.0005482110003082809,Unknown
sll1194,12.693265976938994,0.00010403186414311504,0.0005539101163345248,Photosynthesis and respiration
sll1463,12.605366002901402,0.00010815250783040784,0.0005699936236643909,Cellular processes
slr1897,12.602812618490248,0.0001082749389823971,0.0005699936236643909,Transport and binding proteins
sll1045,12.602741346617773,0.00010827835861724988,0.0005699936236643909,"DNA replication, restriction, modification, recombination, and repair"
slr1915,12.581411323136347,0.0001093072913013704,0.0005732468848323749,Hypothetical
slr1259,12.446482596578507,0.00011607840940201077,0.0006045936698371987,Hypothetical
sll0289,12.445078414485351,0.00011615132868556936,0.0006045936698371987,Cellular processes
slr1159,12.418606709718675,0.00011753575553392254,0.0006095255723785202,"Purines, pyrimidines, nucleosides, and nucleotides"
slr1894,12.212980723836875,0.0001289489322933564,0.0006662361501823415,Translation
ssr0482,12.2010068394357,0.00012965123448657338,0.000667392886010221,Translation
sll1533,12.12960388199999,0.00013393020132907322,0.000686884672257563,Cellular processes
slr1751,12.098975440871685,0.00013581448636990694,0.0006939971006813926,Translation
sll1089,12.021967428095447,0.00014068608206923604,0.0007123019965946046,Unknown
slr0731,12.0206514999562,0.00014077103042927332,0.0007123019965946046,Hypothetical
sll0319,12.018213489887891,0.00014092856706817984,0.0007123019965946046,Hypothetical
sll1342,11.98014326604087,0.00014341461489381682,0.0007222504973894384,Photosynthesis and respiration
sll1967,11.888677750505742,0.00014959294585691668,0.0007506552498935207,Translation
sll1833,11.851977123340076,0.00015215626146041134,0.0007607813073020567,Other categories
ssr1765,11.812130154788056,0.00015499577768335814,0.000772211106672445,Hypothetical
slr1962,11.746077631005804,0.00015983583009323302,0.0007934910426336657,Cell envelope
slr0737,11.726216907884805,0.00016132442102804589,0.0007959201359877773,Photosynthesis and respiration
slr1034,11.723853230472185,0.00016150262463334312,0.0007959201359877773,Hypothetical
sll1027,11.716785784642449,0.00016203678754159767,0.0007959201359877773,Amino acid biosynthesis
sll0416,11.701854461590054,0.00016317189563420042,0.0007986834891568756,Cellular processes
sll1823,11.68009874519511,0.00016484195262741347,0.0008040367969064399,"Purines, pyrimidines, nucleosides, and nucleotides"
sll0454,11.584138918400303,0.00017244279972289232,0.0008381801589318284,Translation
slr2099,11.526064262514973,0.0001772351713033795,0.0008584828610007443,Regulatory functions
slr0191,11.469109346735214,0.00018208203541651555,0.0008789080948305853,Cell envelope
sll0169,11.45609026018518,0.0001832109124683045,0.0008807380505857682,Cellular processes
sll1292,11.450204612774787,0.0001837238514125151,0.0008807380505857682,Regulatory functions
sll0860,11.426825936589196,0.0001857774327194313,0.0008875325980945435,Hypothetical
sll0753,11.285252687707288,0.0001987824326075508,0.0009464214794796364,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll0588,11.199379141671212,0.00020717164459212325,0.000983008313625891,Unknown
slr0809,11.181790090722856,0.00020893898263378517,0.0009880334941495944,Cell envelope
sll0480,11.167442385596724,0.00021039327210303847,0.000991549373593712,Other categories
sll1327,11.147631197231608,0.0002124202078171844,0.0009975976048055759,Photosynthesis and respiration
sll1799,11.140968234340193,0.00021310687185094023,0.0009975976048055759,Translation
sll0036,11.057916663255314,0.00022188009923928892,0.0010351931051465152,Hypothetical
slr0635,10.948911571159377,0.0002340219041006313,0.001088201854067935,Hypothetical
ssl3044,10.915919079829465,0.00023784377855410845,0.0011022992394783431,Photosynthesis and respiration
slr0426,10.867224888121099,0.0002436142867277889,0.0011253044039247202,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll1336,10.822990401932962,0.00024899391798245885,0.0011463581372459738,Hypothetical
slr0194,10.765854041182857,0.00025614268068908594,0.0011753915775041936,Energy metabolism
slr0662,10.746333277345435,0.0002586380738214472,0.0011793856145413078,Energy metabolism
slr1844,10.74582090492978,0.0002587039412542224,0.0011793856145413078,"DNA replication, restriction, modification, recombination, and repair"
sll0616,10.731480520630877,0.0002605551741608745,0.0011839559216756349,Cellular processes
sll0535,10.720948570662854,0.00026192431482508464,0.0011863130492889384,Translation
sll2001,10.678734679652047,0.0002674943706269436,0.001204062555185031,Translation
sll0446,10.678172436285333,0.00026756945670778465,0.001204062555185031,Unknown
slr2051,10.67034915332357,0.0002686167132033551,0.0012048884724073323,Photosynthesis and respiration
slr0213,10.64869286965352,0.00027153998146891905,0.0012140970325293017,"Purines, pyrimidines, nucleosides, and nucleotides"
sll0708,10.635565516936335,0.0002733294889938697,0.0012151537520521695,Other categories
sll1261,10.634184816193264,0.0002735184789565457,0.0012151537520521695,Translation
slr1557,10.564275435075558,0.00028328375594673143,0.0012545423477640966,Hypothetical
sll1151,10.543056469955381,0.0002863253081533205,0.0012639993825122851,Unknown
